Time,Obs_Ca,Obs_CaM,Obs_CaM_Ca4,Obs_CaMKII,Obs_CaMKII_CaM_Ca2,Obs_CaMKII_CaM_Ca2_psd,Obs_CaMKII_psd,Obs_cAMP,Obs_Substrate,Obs_D1R,Obs_DA,Obs_D32,Obs_pSubstrate,Obs_PP2B,Obs_PP2Bc,Obs_pARPP21
0,1,38,0,202,3,0,17,0,35,18,0,444,1,1,3,8
0.2,0,37,0,199,4,1,18,1,35,16,0,444,0,1,3,8
0.4,1,43,0,205,2,0,19,0,36,21,0,442,0,1,4,6
0.6000000000000001,1,28,0,186,5,1,21,0,36,15,0,438,0,2,7,6
0.8,1,35,0,195,6,1,20,1,35,15,0,447,1,1,6,7
1,1,35,0,199,5,0,18,0,35,18,0,448,1,0,1,7
1.2000000000000002,1,34,0,197,6,1,20,0,34,21,0,454,1,0,4,5
1.4000000000000001,0,33,0,194,7,0,21,0,35,16,0,448,1,1,4,6
1.6,1,29,0,194,0,1,19,0,34,15,0,455,1,0,5,5
1.8,1,38,0,194,4,0,24,0,35,19,0,456,1,1,2,4
2,1,41,0,202,3,0,21,0,35,17,0,459,1,1,1,6
2.2,1,38,0,200,0,1,20,0,35,17,0,459,0,0,3,7
2.4000000000000004,1,43,0,199,2,0,24,0,35,16,0,459,1,1,1,8
2.6,1,40,0,202,2,0,19,0,35,19,0,457,1,1,6,7
2.8000000000000003,1,41,0,204,4,0,18,0,35,19,0,466,1,1,3,8
3,1,33,0,198,7,0,17,1,34,18,0,471,2,0,2,9
3.2,1,33,0,200,7,0,15,0,34,17,0,470,1,0,8,12
3.4000000000000004,1,38,0,204,4,0,16,0,35,18,0,466,1,0,7,11
3.6,0,42,0,208,1,0,16,0,34,18,0,464,1,0,5,11
3.8000000000000003,1,37,0,198,4,0,21,0,35,14,0,456,1,0,3,8
4,1,33,0,196,5,0,18,0,34,17,0,445,1,0,0,11
4.2,22,7,2,180,12,1,17,0,34,20,0,448,2,0,33,9
4.4,35,4,2,178,8,3,20,0,33,16,1,464,2,0,33,4
4.6000000000000005,43,2,0,176,5,2,21,1,35,18,0,487,0,0,40,0
4.800000000000001,50,0,0,171,9,1,22,0,34,20,0,498,1,0,41,1
5,53,1,1,171,6,1,24,1,36,17,0,504,0,0,38,1
5.2,10,5,0,169,15,2,26,2,33,16,1,506,1,0,19,5
5.4,3,15,0,172,16,4,28,0,34,12,1,505,2,0,9,6
5.6000000000000005,1,28,0,182,11,2,26,0,34,20,0,500,1,0,6,9
5.800000000000001,0,24,0,179,6,0,27,0,35,22,0,497,1,0,2,11
6,1,31,0,183,5,0,24,0,35,19,0,489,1,0,4,7
6.2,0,37,0,188,3,0,25,1,32,20,0,497,2,0,1,7
6.4,1,31,0,185,1,0,20,2,31,17,1,495,4,0,5,9
6.6000000000000005,0,34,0,193,3,0,14,0,32,16,0,488,4,0,1,10
6.800000000000001,1,31,0,189,1,0,17,0,31,19,0,485,5,0,0,7
7,1,37,0,196,3,0,15,0,30,17,0,481,6,0,3,7
7.2,1,40,0,198,3,0,15,0,31,16,0,477,4,1,0,7
7.4,1,38,0,196,3,0,16,2,32,20,0,480,4,0,1,6
7.6000000000000005,1,36,0,197,3,0,14,0,30,18,0,482,5,0,1,6
7.800000000000001,1,36,0,197,3,1,16,0,31,21,0,483,5,0,2,7
8,1,32,0,193,4,1,17,0,33,20,0,479,3,0,3,7
8.200000000000001,1,38,0,199,3,1,16,0,31,17,0,471,4,0,3,6
8.4,1,34,0,193,4,0,17,0,32,19,0,472,4,0,5,6
8.6,0,34,0,199,5,2,13,0,31,17,0,474,3,0,2,5
8.8,1,38,0,201,2,0,14,1,32,21,0,477,4,0,2,6
9,1,38,0,201,2,0,14,0,31,17,0,467,4,0,3,6
9.200000000000001,1,37,0,205,2,1,12,0,31,20,0,470,2,0,5,7
9.4,1,36,0,205,1,1,9,0,33,19,0,463,3,0,4,4
9.600000000000001,1,33,0,201,2,1,12,0,32,15,0,471,3,0,8,6
9.8,1,37,0,203,4,0,10,0,32,18,0,468,3,0,2,4
10,1,36,0,202,1,0,12,0,32,20,1,475,3,1,2,4
