Time,Obs_Ca,Obs_CaM,Obs_CaM_Ca4,Obs_CaMKII,Obs_CaMKII_CaM_Ca2,Obs_CaMKII_CaM_Ca2_psd,Obs_CaMKII_psd,Obs_cAMP,Obs_Substrate,Obs_D1R,Obs_DA,Obs_D32,Obs_pSubstrate,Obs_PP2B,Obs_PP2Bc,Obs_pARPP21
0,1,38,0,202,3,0,17,0,35,18,0,444,1,1,3,8
0.2,1,42,0,205,7,1,17,2,35,17,0,440,1,1,6,9
0.4,1,35,0,200,2,0,17,0,33,17,0,437,1,0,1,9
0.6000000000000001,1,33,0,195,2,0,19,0,34,20,0,439,1,0,3,8
0.8,1,29,0,194,3,0,18,1,35,17,0,444,0,0,6,3
1,1,40,0,203,5,0,18,0,36,20,0,441,0,0,3,9
1.2000000000000002,1,36,0,201,4,0,16,0,36,17,0,436,0,0,7,8
1.4000000000000001,1,41,0,206,1,0,15,0,35,19,0,438,0,1,1,9
1.6,0,37,0,202,6,0,17,0,36,17,0,440,0,0,9,7
1.8,1,32,0,197,2,0,16,1,34,18,0,442,2,0,1,8
2,1,41,0,205,2,0,18,2,32,18,1,453,4,0,3,9
2.2,1,41,0,204,0,0,20,4,32,20,0,450,4,0,6,12
2.4000000000000004,1,39,0,203,1,0,18,5,33,18,0,450,3,0,3,11
2.6,1,33,0,199,5,0,16,8,33,15,0,452,3,1,4,11
2.8000000000000003,1,33,0,198,3,0,17,3,32,19,1,458,4,0,2,13
3,1,40,0,208,2,0,13,3,32,20,1,462,4,0,4,12
3.2,1,35,0,205,1,0,14,6,33,19,0,457,2,0,4,11
3.4000000000000004,1,34,0,202,4,1,13,8,34,17,1,451,1,0,4,13
3.6,1,34,0,200,3,0,16,1,36,19,0,458,0,0,3,16
3.8000000000000003,1,36,0,204,2,0,13,0,36,16,0,466,0,1,3,14
4,1,39,0,203,5,0,17,0,36,19,1,462,0,0,4,16
4.2,22,9,0,196,9,1,13,1,36,21,0,469,0,0,31,6
4.4,35,6,0,186,4,2,14,2,36,17,1,472,0,0,34,8
4.6000000000000005,44,0,1,185,7,1,15,1,36,16,0,478,0,0,37,4
4.800000000000001,50,2,0,181,9,0,15,4,36,18,0,493,0,0,35,9
5,53,1,0,184,6,0,17,3,36,18,0,509,0,0,38,2
5.2,10,9,0,187,12,5,15,5,36,17,0,518,0,0,22,12
5.4,2,18,0,195,14,1,16,5,35,18,0,518,1,1,8,14
5.6000000000000005,1,29,0,196,11,1,16,3,35,17,0,515,1,0,1,14
5.800000000000001,1,33,0,199,5,1,15,5,35,18,0,518,1,0,4,21
6,1,40,0,203,6,0,16,2,34,18,0,508,1,0,1,23
6.2,1,38,0,202,2,0,17,0,35,17,1,505,1,0,4,23
6.4,0,38,0,199,5,0,17,0,35,22,0,497,1,0,5,28
6.6000000000000005,0,43,0,208,0,0,16,0,35,17,0,481,1,0,7,20
6.800000000000001,1,34,0,198,2,0,17,0,35,15,0,479,1,0,1,23
7,1,40,0,204,2,1,16,0,36,14,0,480,0,0,2,23
7.2,1,29,0,192,1,2,16,0,34,17,0,481,2,0,2,26
7.4,0,35,0,198,4,0,18,0,35,16,0,479,0,0,3,26
7.6000000000000005,1,36,0,199,2,0,18,0,35,10,0,473,0,0,0,24
7.800000000000001,1,36,0,197,2,0,20,0,35,17,1,465,1,0,4,27
8,0,33,0,192,4,0,22,0,35,17,0,466,1,0,4,26
8.200000000000001,1,41,0,202,3,0,18,0,34,14,1,465,2,0,4,24
8.4,1,39,0,202,1,0,19,0,34,16,0,454,2,0,3,18
8.6,1,38,0,199,2,0,21,0,34,17,0,456,2,0,3,22
8.8,1,45,0,204,1,0,20,0,34,14,0,444,2,0,3,23
9,1,38,0,199,3,0,19,0,32,20,0,451,4,0,6,18
9.200000000000001,1,37,0,195,2,0,20,0,32,18,0,449,4,1,3,23
9.4,0,37,0,199,3,0,19,0,32,14,0,456,4,0,4,20
9.600000000000001,1,37,0,203,1,1,18,0,31,19,0,453,4,0,4,20
9.8,1,35,0,197,4,0,17,1,32,19,0,456,3,1,3,22
10,0,38,0,206,0,0,13,0,32,22,0,453,4,1,3,22
10.200000000000001,0,39,0,204,2,0,15,2,32,20,1,446,4,0,9,22
10.4,0,36,0,203,3,0,14,2,32,20,0,447,4,0,4,17
10.600000000000001,0,31,0,195,3,0,16,2,32,19,0,449,3,0,2,18
10.8,1,41,0,205,1,0,18,3,34,17,1,449,0,0,4,19
11,0,39,0,203,2,1,17,2,35,15,0,441,1,0,9,20
11.200000000000001,1,36,0,201,1,0,16,5,35,19,0,457,1,0,0,20
11.4,0,35,0,201,2,0,15,10,36,16,0,457,0,0,4,21
11.600000000000001,0,37,0,199,2,0,20,6,36,13,0,445,0,0,2,23
11.8,0,33,0,197,3,0,17,6,36,17,0,445,0,1,5,25
12,0,34,0,200,1,0,17,2,36,17,0,435,0,1,1,26
12.200000000000001,1,33,0,197,1,0,17,4,36,18,0,440,0,0,2,27
12.4,1,38,0,200,3,0,19,2,36,15,1,437,0,0,2,30
12.600000000000001,1,39,0,202,2,0,18,3,35,14,0,437,1,0,2,32
12.8,0,35,0,201,3,1,15,2,35,18,0,439,1,0,1,31
13,1,39,0,203,2,0,16,2,33,16,1,441,2,1,0,31
13.200000000000001,1,42,0,208,2,0,16,1,34,19,0,426,2,0,1,26
13.4,1,39,0,205,0,0,16,4,34,17,0,434,2,1,2,32
13.600000000000001,1,40,0,208,0,0,15,2,34,18,0,426,1,0,1,30
13.8,1,38,0,204,1,0,16,2,36,17,1,420,0,0,1,32
14,1,35,0,200,1,0,18,1,36,19,0,431,0,0,3,31
14.200000000000001,1,43,0,207,0,0,18,0,36,18,0,426,0,0,3,30
14.4,0,38,0,203,2,0,16,0,36,16,0,426,0,0,2,33
14.600000000000001,1,40,0,201,1,0,20,0,36,21,0,421,0,0,2,35
14.8,0,33,0,201,1,0,15,1,36,20,0,419,0,0,1,32
15,1,44,0,209,2,1,17,0,36,17,0,420,0,1,2,33
15.200000000000001,1,45,0,207,1,0,20,0,36,19,0,422,0,0,6,34
15.4,0,38,0,202,0,0,18,0,35,17,1,429,1,1,1,35
15.600000000000001,0,36,0,203,1,0,14,0,35,19,0,428,1,1,7,33
15.8,1,41,0,207,3,0,15,0,35,19,0,419,1,1,3,37
16,1,39,0,207,6,0,13,0,35,14,0,432,1,0,3,36
16.2,0,34,0,202,4,0,14,0,35,17,1,433,1,0,1,33
16.400000000000002,1,35,0,209,6,0,7,0,35,16,1,434,1,0,3,33
16.6,1,36,0,211,4,0,7,0,35,16,1,440,1,0,3,33
16.8,0,32,0,205,2,0,10,0,34,18,0,444,2,0,1,37
17,0,35,0,207,1,0,12,0,34,19,0,446,1,0,6,35
17.2,1,36,0,204,2,0,13,0,34,21,0,443,2,0,0,34
17.400000000000002,1,43,0,212,1,1,12,1,33,16,0,429,3,0,2,32
17.6,1,35,0,204,5,0,12,0,33,19,0,426,3,0,5,34
17.8,0,40,0,211,5,0,10,0,33,19,0,424,3,0,1,34
18,0,39,0,207,3,0,14,0,34,19,0,421,2,0,2,32
18.2,1,34,0,204,4,0,11,0,35,20,0,415,1,0,5,33
18.400000000000002,0,38,0,202,4,0,18,0,35,21,0,423,1,0,1,32
18.6,0,37,0,203,2,0,16,0,35,17,0,430,1,0,3,27
18.8,0,37,0,204,3,1,15,0,35,15,0,428,1,0,3,25
19,1,38,0,204,2,0,16,0,35,18,0,430,1,0,2,25
19.200000000000003,1,40,0,207,2,0,15,0,35,19,0,424,0,0,3,27
19.400000000000002,1,38,0,207,3,0,13,0,36,19,0,435,0,0,2,26
19.6,1,38,0,204,5,0,14,0,36,16,0,436,0,1,4,25
19.8,1,32,0,205,4,0,10,0,35,21,1,434,0,0,7,23
20,1,42,0,213,6,1,10,1,35,17,0,434,1,0,6,25
20.200000000000003,0,39,0,210,5,0,11,2,34,16,0,433,2,0,5,26
20.400000000000002,0,34,0,205,6,0,11,2,35,17,1,424,0,0,4,22
20.6,0,38,0,209,4,0,11,1,36,16,0,434,0,0,0,21
20.8,1,36,0,209,3,0,9,3,36,19,0,431,0,1,0,22
21,0,36,0,203,4,0,14,4,35,20,1,433,0,2,4,22
21.200000000000003,0,35,0,203,3,0,14,0,36,18,0,438,0,1,1,20
21.400000000000002,1,39,0,207,1,0,14,3,35,18,0,436,1,0,0,21
21.6,1,35,0,203,2,0,14,3,35,17,0,437,1,0,1,20
21.8,0,41,0,210,2,0,12,5,35,21,0,442,1,0,1,22
22,0,38,0,204,2,1,16,4,35,20,0,439,0,0,3,20
22.200000000000003,1,42,0,209,1,1,14,2,36,17,0,438,0,1,3,22
22.400000000000002,0,30,0,199,5,0,13,3,36,14,0,434,0,1,2,20
22.6,1,36,0,207,3,0,12,2,35,18,0,435,0,0,1,18
22.8,0,32,0,205,3,0,10,0,35,21,0,431,1,0,1,21
23,0,41,0,211,3,1,11,0,35,18,0,433,1,0,4,20
23.200000000000003,1,42,0,215,2,0,11,4,35,16,0,433,1,0,1,23
23.400000000000002,1,40,0,209,2,0,13,4,34,18,0,432,1,0,1,19
23.6,0,36,0,204,0,0,13,6,35,17,0,431,1,0,2,20
23.8,1,34,0,200,2,0,15,4,35,15,0,433,1,0,2,22
24,1,35,0,202,2,0,15,3,35,14,1,437,1,0,0,23
24.200000000000003,1,38,0,205,2,0,15,7,35,17,0,435,1,0,0,25
24.400000000000002,1,34,0,203,1,0,12,5,35,14,0,439,1,0,1,26
24.6,0,34,0,203,4,1,12,1,36,18,1,452,0,0,4,30
24.8,1,35,0,204,4,0,15,0,36,21,0,447,0,0,2,29
25,1,37,0,207,2,1,14,0,36,17,0,451,0,0,0,31
25.200000000000003,0,31,0,197,2,1,17,1,36,16,1,454,0,1,0,30
25.400000000000002,1,42,1,207,2,1,15,1,36,15,0,462,0,2,2,36
25.6,1,38,0,206,4,0,13,0,35,17,1,449,1,1,4,35
25.8,0,35,0,204,2,0,14,0,35,18,0,459,1,0,0,36
26,1,32,0,201,4,0,15,0,35,17,0,459,1,1,2,31
26.200000000000003,1,33,0,202,3,0,13,2,35,18,1,457,1,1,3,32
26.400000000000002,1,42,0,213,1,0,12,0,35,19,0,449,1,1,5,34
26.6,1,38,0,210,3,0,10,0,35,16,0,451,1,1,2,31
26.8,1,39,0,210,2,0,10,0,35,19,0,445,1,0,5,31
27,1,36,0,207,1,0,12,1,35,18,1,440,1,0,3,30
27.200000000000003,0,31,0,201,5,1,10,0,35,16,0,443,1,1,3,31
27.400000000000002,1,38,0,213,1,1,8,0,35,15,0,441,1,0,4,31
27.6,1,36,0,207,4,0,10,0,35,18,1,438,1,1,2,31
27.8,0,39,0,209,3,0,12,1,35,19,0,444,1,0,3,33
28,1,35,0,208,3,0,8,0,36,16,0,443,0,0,1,32
28.200000000000003,1,35,0,204,3,0,12,0,36,20,1,448,0,0,3,33
28.400000000000002,1,37,0,207,2,0,11,0,36,20,0,443,0,0,2,30
28.6,1,43,0,210,3,0,13,2,36,19,0,432,0,1,4,33
28.8,1,40,0,205,0,0,16,2,36,19,0,441,0,0,2,34
29,1,44,0,213,1,0,13,10,36,17,0,432,0,0,4,26
29.200000000000003,0,38,0,209,2,0,11,7,36,19,1,447,0,0,7,27
29.400000000000002,1,33,0,203,5,0,11,7,36,16,0,448,0,0,3,27
29.6,1,39,0,210,3,0,11,0,36,19,0,445,0,0,3,26
29.8,1,37,0,205,7,0,13,2,36,19,0,452,0,1,0,24
30,0,39,0,202,3,0,18,0,35,18,0,443,1,0,3,7
30.200000000000003,1,37,0,196,4,0,21,0,35,18,0,449,2,0,1,7
30.400000000000002,1,42,0,205,2,1,18,0,34,19,1,461,1,0,4,7
30.6,0,42,0,205,3,0,18,1,36,17,0,460,1,0,3,7
30.8,0,42,0,205,1,0,19,1,37,15,0,468,0,0,3,6
31,0,36,0,198,2,2,19,1,35,15,1,452,1,0,1,5
31.200000000000003,0,42,0,202,2,0,21,2,36,18,0,455,1,0,5,6
31.400000000000002,1,42,0,201,4,0,21,2,36,17,0,456,1,0,1,5
31.6,1,42,0,202,0,0,20,2,36,17,0,462,0,0,6,5
31.8,1,38,0,200,3,0,19,3,37,18,0,460,0,0,0,6
32,1,42,0,205,3,0,19,0,37,20,0,464,0,0,0,6
32.2,1,40,0,202,2,0,19,1,37,18,1,470,0,0,0,5
32.4,1,40,0,196,1,0,24,6,37,17,1,472,0,0,1,4
32.6,1,36,0,193,1,0,24,7,37,17,0,475,0,0,3,4
32.800000000000004,1,41,0,199,1,0,22,5,37,17,0,474,0,1,2,3
33,0,33,0,192,2,1,20,3,36,20,0,478,0,1,2,6
33.2,0,39,0,201,2,0,19,5,36,20,0,488,1,0,1,9
33.4,0,38,0,202,2,0,16,5,35,18,0,484,1,1,1,10
33.6,1,38,0,202,2,0,17,5,35,19,0,483,2,0,4,13
33.800000000000004,0,37,0,200,3,0,20,6,35,17,0,482,2,0,5,13
34,1,45,0,208,2,0,19,1,35,18,0,483,0,0,2,11
34.2,22,13,0,186,11,3,15,0,36,17,1,479,1,0,29,5
34.4,35,4,1,184,14,3,12,2,34,15,1,487,1,0,36,2
34.6,44,3,1,175,8,0,19,3,33,21,0,494,2,0,38,2
34.800000000000004,49,2,0,169,8,1,24,0,35,17,1,503,1,0,40,4
35,53,1,2,170,4,2,25,1,35,16,0,508,2,0,37,4
35.2,10,4,0,162,17,3,28,0,33,17,0,513,2,0,27,5
35.4,2,16,0,173,14,8,26,0,35,19,0,498,1,0,9,7
35.6,1,31,0,180,9,0,29,0,36,20,0,501,1,0,4,8
35.800000000000004,1,33,0,185,5,1,24,0,37,18,0,501,0,0,6,7
36,0,38,0,183,8,0,28,0,37,16,1,493,0,0,4,7
36.2,0,27,0,176,2,0,28,0,36,17,1,486,1,0,2,8
36.4,1,36,0,186,3,1,30,0,34,18,0,488,0,0,2,7
36.6,0,38,0,187,4,0,28,2,35,15,0,478,0,0,2,10
36.800000000000004,1,40,0,191,7,0,28,0,37,17,1,475,0,1,3,10
37,1,37,0,188,3,0,26,0,36,17,0,472,1,1,1,9
37.2,1,36,0,193,1,1,22,0,35,23,0,482,2,0,5,10
37.4,0,43,0,201,1,0,19,0,34,18,0,491,2,0,5,9
37.6,0,39,0,198,0,0,20,0,36,16,0,485,0,0,3,10
37.800000000000004,1,41,0,196,3,0,22,0,37,17,1,486,0,1,1,5
38,1,35,0,190,2,0,22,0,36,18,0,490,1,1,0,6
38.2,1,42,0,202,3,1,18,0,33,19,0,487,3,1,0,5
38.400000000000006,0,39,0,193,4,0,24,1,34,17,0,480,3,0,3,7
38.6,1,38,0,190,5,0,25,0,34,16,0,480,2,1,2,5
38.800000000000004,0,42,0,198,2,1,22,0,36,20,1,483,1,0,2,6
39,1,36,0,193,2,0,23,1,36,18,0,476,1,0,3,6
39.2,1,40,0,195,0,1,24,4,36,19,0,477,1,0,2,5
39.400000000000006,1,40,0,189,4,0,29,2,36,21,1,470,0,0,5,5
39.6,1,44,0,198,2,0,25,0,37,17,0,478,0,1,0,4
39.800000000000004,1,42,0,197,3,1,24,0,37,17,0,473,0,1,5,4
40,1,36,0,189,7,0,25,3,36,15,0,470,1,0,4,5
40.2,0,37,0,190,4,0,25,3,35,15,0,472,1,0,7,6
40.400000000000006,0,35,0,195,1,0,21,1,36,16,0,476,1,0,1,6
40.6,1,42,0,200,7,0,23,3,35,14,0,477,2,0,3,6
40.800000000000004,1,32,0,190,2,1,24,3,36,19,0,484,1,0,0,8
41,0,39,0,197,3,0,25,2,35,19,1,485,2,0,4,8
41.2,1,38,0,193,1,0,24,1,35,17,0,485,2,1,2,9
41.400000000000006,1,35,0,195,4,0,21,0,35,21,0,482,1,0,2,10
41.6,1,36,0,194,3,0,23,0,36,16,0,477,1,0,0,14
41.800000000000004,1,36,0,192,4,0,24,1,35,19,0,473,1,0,1,15
42,1,41,0,205,4,1,18,1,35,16,0,467,2,0,0,11
42.2,1,44,0,206,4,0,20,0,34,20,1,479,1,1,0,13
42.400000000000006,1,41,0,202,4,0,19,2,34,15,1,470,2,0,1,12
42.6,1,37,0,198,3,1,20,0,36,18,0,480,1,0,5,11
42.800000000000004,1,43,0,203,3,0,22,0,36,17,0,477,1,0,2,11
43,1,41,0,199,2,1,23,2,36,19,0,476,1,0,1,11
43.2,1,43,0,198,3,0,25,1,36,18,0,462,1,0,1,12
43.400000000000006,1,44,0,205,5,0,20,7,34,17,0,463,3,0,6,12
43.6,1,43,0,206,4,1,18,6,34,19,1,464,3,0,2,10
43.800000000000004,1,46,0,210,2,1,16,9,34,18,0,466,3,0,2,12
44,1,39,0,203,4,0,17,13,33,20,0,466,3,0,4,14
44.2,1,42,0,203,2,0,21,6,34,15,0,461,2,0,4,15
44.400000000000006,0,38,0,202,0,0,20,1,36,19,0,474,1,1,2,20
44.6,1,38,0,203,2,1,16,1,36,15,0,473,1,0,3,20
44.800000000000004,1,37,0,203,1,0,15,10,36,17,0,470,1,0,2,23
45,0,35,0,202,3,0,15,18,36,18,0,479,1,0,1,20
45.2,1,44,0,208,3,0,17,20,36,15,0,477,0,0,4,21
45.400000000000006,1,38,0,204,1,1,17,19,37,18,1,474,0,0,0,21
45.6,1,34,0,200,3,0,16,17,35,17,1,476,2,0,0,29
45.800000000000004,1,35,0,199,4,1,16,26,33,18,0,474,2,1,4,35
46,1,36,0,198,5,0,17,36,34,17,0,464,3,1,1,38
46.2,0,36,0,200,2,0,16,24,34,16,0,463,3,0,3,38
46.400000000000006,0,39,0,205,4,0,17,20,35,16,0,465,2,1,2,41
46.6,1,34,0,199,4,0,17,16,35,17,0,448,2,1,0,46
46.800000000000004,1,34,0,195,6,0,18,11,35,20,0,453,1,1,1,46
47,1,43,0,206,3,0,17,13,36,15,0,443,1,0,1,49
47.2,1,38,0,203,4,0,17,14,34,19,0,451,1,0,3,47
47.400000000000006,0,39,0,197,5,0,22,11,35,17,0,450,2,0,4,50
47.6,0,44,0,204,2,0,19,11,35,16,0,457,2,1,2,48
47.800000000000004,1,38,0,198,6,0,20,5,35,20,0,462,2,0,0,54
48,1,37,0,201,3,0,18,3,35,19,0,467,2,0,2,49
48.2,1,38,0,203,2,0,18,1,35,20,0,458,2,0,2,49
48.400000000000006,0,36,0,205,3,1,14,0,34,16,0,460,2,0,0,54
48.6,1,39,0,206,2,0,16,0,34,13,0,461,2,0,2,55
48.800000000000004,1,40,0,208,4,1,13,2,35,18,1,466,2,0,2,54
49,1,45,0,213,2,0,13,0,35,18,0,476,1,0,0,51
49.2,1,38,0,206,2,0,13,1,35,18,1,467,1,0,1,50
49.400000000000006,1,40,0,210,4,2,11,0,36,21,0,472,1,0,2,49
49.6,1,43,0,212,3,0,13,0,36,19,0,480,1,0,2,40
49.800000000000004,1,39,0,207,5,0,15,0,36,15,0,474,1,0,8,37
50,1,41,0,209,2,0,16,0,35,16,0,472,1,0,1,42
50.2,1,37,0,205,3,0,15,0,36,18,0,473,1,0,1,50
50.400000000000006,1,50,0,217,1,0,15,0,37,16,0,466,0,0,0,53
50.6,1,41,0,208,2,0,14,0,37,15,0,464,0,0,1,50
50.800000000000004,1,41,0,208,5,0,14,1,36,16,0,458,1,1,2,45
51,1,33,0,203,6,1,11,0,35,18,0,461,2,0,2,43
51.2,0,45,0,213,2,0,13,1,35,16,1,470,2,0,0,42
51.400000000000006,1,36,0,199,5,0,17,0,35,14,0,464,2,1,0,40
51.6,1,39,0,201,6,0,17,0,36,20,0,473,1,1,5,32
51.800000000000004,1,46,0,206,4,0,20,0,36,19,0,469,1,1,5,35
52,1,39,0,203,2,0,17,0,34,13,0,468,2,0,0,36
52.2,0,35,0,201,2,0,15,0,35,13,1,477,2,0,3,32
52.400000000000006,1,42,0,207,5,0,15,0,35,17,0,481,2,0,2,33
52.6,1,39,0,207,4,0,13,0,35,17,1,484,2,0,2,31
52.800000000000004,0,42,0,206,4,0,16,0,36,18,1,487,1,0,4,33
53,1,39,0,204,6,0,14,1,35,20,0,485,0,1,3,32
53.2,1,42,0,206,3,0,16,0,36,17,0,491,1,0,6,32
53.400000000000006,1,41,0,211,0,0,13,1,35,17,0,491,2,0,4,31
53.6,0,40,0,208,0,0,15,0,34,19,0,488,3,0,3,28
53.800000000000004,1,33,0,200,2,0,13,0,34,16,0,486,3,1,3,23
54,0,37,0,203,4,0,14,1,34,19,0,486,3,1,4,24
54.2,0,40,0,207,3,0,15,0,34,15,1,479,3,1,1,25
54.400000000000006,0,40,0,210,3,0,10,0,34,20,0,483,2,0,5,23
54.6,1,43,0,213,4,0,11,0,36,19,0,485,1,0,6,20
54.800000000000004,1,44,0,212,3,0,13,0,36,17,0,490,1,0,2,16
55,1,41,0,217,1,0,8,0,36,18,0,484,1,0,3,12
55.2,1,38,0,210,5,0,8,0,36,16,0,492,1,1,6,15
55.400000000000006,1,44,0,214,5,0,10,0,36,18,0,488,1,0,1,16
55.6,1,39,0,208,4,0,11,0,36,16,0,484,0,0,2,11
55.800000000000004,1,48,0,217,2,0,11,0,37,16,0,480,0,0,2,14
56,0,41,0,214,3,1,7,0,37,21,0,486,0,0,1,16
56.2,1,37,0,206,4,0,14,1,37,15,0,485,0,0,4,14
56.400000000000006,0,41,0,207,6,0,15,0,37,17,0,498,0,0,6,13
56.6,1,37,0,202,4,0,16,0,37,20,0,495,0,1,0,13
56.800000000000004,1,28,0,191,8,0,19,0,36,18,1,496,0,0,6,12
57,0,32,0,194,5,2,19,0,37,18,0,491,0,0,2,12
57.2,1,44,0,201,5,0,22,0,37,17,0,489,0,1,4,9
57.400000000000006,1,47,0,206,3,0,22,1,36,17,0,495,0,0,2,11
57.6,1,43,0,202,5,0,20,0,37,16,1,503,0,1,5,9
57.800000000000004,1,36,0,201,4,2,16,0,37,18,0,496,0,0,2,5
58,1,42,0,202,3,0,20,1,37,22,1,499,0,0,0,7
58.2,1,45,0,210,2,1,17,1,36,17,0,511,0,0,2,8
58.400000000000006,1,43,0,204,2,0,19,2,37,15,1,500,0,0,8,9
58.6,1,39,0,199,4,0,20,2,37,21,1,498,0,0,3,9
58.800000000000004,1,42,0,199,2,0,23,0,37,19,0,501,0,0,1,9
59,1,41,0,200,3,0,21,2,37,19,0,497,0,0,4,10
59.2,0,41,0,202,3,0,19,5,37,19,0,495,0,0,2,10
59.400000000000006,1,40,0,198,1,0,22,0,37,19,0,495,0,0,4,9
59.6,0,40,0,196,1,0,25,0,37,19,0,494,0,0,0,9
59.800000000000004,1,44,0,203,1,0,21,0,37,18,1,494,0,0,1,8
60,1,38,0,203,3,0,17,0,35,18,0,444,1,0,2,8
60.2,1,38,0,202,2,0,18,2,36,20,0,447,0,0,3,9
60.400000000000006,1,36,0,202,2,1,16,1,36,18,0,441,0,0,0,9
60.6,1,41,0,205,3,0,17,0,36,21,0,451,0,0,1,6
60.800000000000004,0,33,0,200,2,0,14,0,36,19,0,449,0,0,5,8
61,1,42,0,209,1,0,16,0,36,20,0,446,0,0,2,5
61.2,1,31,0,195,6,0,17,0,36,20,1,449,0,0,4,6
61.400000000000006,1,38,0,202,1,0,19,0,36,20,0,449,0,0,3,5
61.6,1,40,0,205,3,0,15,0,36,19,1,452,0,1,0,7
61.800000000000004,1,34,0,196,5,0,19,0,36,17,1,450,0,0,7,7
62,1,33,0,195,5,1,19,1,35,18,0,448,1,0,1,7
62.2,1,39,0,204,3,1,18,1,35,19,1,443,1,0,2,6
62.400000000000006,1,40,0,204,1,0,18,0,36,19,1,449,0,0,6,6
62.6,0,45,0,206,4,0,20,0,35,21,0,453,0,0,2,6
62.800000000000004,1,41,0,207,3,0,17,2,36,19,1,452,0,0,2,5
63,1,31,0,196,4,0,18,0,36,16,0,449,0,0,3,6
63.2,1,39,0,205,7,0,15,0,36,19,0,446,0,0,3,3
63.400000000000006,0,39,0,208,3,1,13,1,36,17,0,441,0,0,1,3
63.6,1,42,0,208,2,0,15,1,35,17,0,451,1,0,2,1
63.800000000000004,1,39,0,206,2,0,15,1,35,17,0,450,1,0,5,3
64,1,34,0,206,1,2,11,2,35,22,0,447,1,0,2,3
64.2,22,13,1,186,10,0,12,0,35,19,0,443,0,0,38,1
64.4,35,2,0,171,11,1,17,1,36,17,0,458,0,0,37,1
64.60000000000001,44,0,2,172,10,0,17,1,35,20,0,470,1,0,38,0
64.8,49,4,1,175,9,2,15,0,33,15,0,481,1,0,41,2
65,54,2,2,171,9,1,17,0,33,20,0,486,2,0,37,0
65.2,10,7,0,176,17,3,16,0,33,17,1,493,3,0,21,0
65.4,3,19,0,187,14,2,14,0,33,19,1,511,3,0,13,1
65.60000000000001,1,26,0,182,9,0,22,0,32,20,0,510,4,0,2,2
65.8,1,28,0,181,9,0,19,0,31,19,1,516,5,0,4,2
66,1,27,0,182,2,1,21,0,31,18,1,518,5,0,1,2
66.2,1,33,0,188,2,1,20,0,30,16,1,506,6,0,7,2
66.4,1,42,0,192,5,0,22,1,31,16,0,509,5,0,0,2
66.60000000000001,1,33,0,191,1,1,18,2,29,23,0,506,6,0,0,1
66.8,0,33,0,186,3,0,21,5,30,19,1,503,4,0,8,2
67,1,38,0,192,1,0,20,5,33,16,1,501,3,0,2,2
67.2,1,34,0,187,0,1,19,9,33,20,0,495,2,0,2,3
67.4,0,39,0,190,4,0,20,12,33,16,1,489,3,0,2,4
67.60000000000001,0,40,0,189,4,1,19,5,33,23,0,496,3,0,2,7
67.8,1,37,0,192,2,1,19,4,32,19,1,493,4,0,6,9
68,1,32,0,185,5,1,20,6,29,19,0,492,6,0,1,12
68.2,1,34,0,193,6,0,16,5,31,18,0,491,4,0,3,11
68.4,1,37,0,185,4,0,26,6,31,18,1,486,3,0,2,16
68.60000000000001,1,39,0,188,4,0,26,5,33,18,0,482,1,0,4,14
68.8,0,41,0,193,5,1,22,5,33,20,0,470,2,0,1,15
69,1,43,0,192,3,0,26,1,32,17,1,466,3,0,3,17
69.2,1,41,0,194,2,0,24,0,32,19,1,457,3,0,2,16
69.4,0,40,0,192,0,0,23,0,32,19,0,443,3,0,4,18
69.60000000000001,1,38,0,193,2,0,20,1,31,20,0,445,3,1,1,14
69.8,0,38,0,192,3,0,22,1,33,20,0,451,3,0,1,15
70,1,42,0,198,4,1,20,0,33,19,0,446,2,0,5,18
70.2,1,34,0,192,3,0,18,0,33,20,0,458,2,0,3,19
70.4,1,41,0,205,1,0,15,0,32,22,1,446,2,0,2,18
70.60000000000001,0,42,0,204,2,0,13,0,34,19,1,446,1,0,6,19
70.8,0,32,0,196,6,0,16,0,35,17,0,436,0,0,2,19
71,1,38,0,202,2,0,16,0,34,21,0,433,0,0,5,19
71.2,1,39,0,201,2,0,18,0,35,21,0,437,1,0,1,22
71.4,1,36,0,195,3,0,21,1,35,22,0,444,1,0,4,23
71.60000000000001,1,41,0,203,1,1,21,0,34,19,0,450,2,0,4,20
71.8,0,36,0,196,1,0,21,0,34,19,1,447,2,0,6,19
72,1,37,0,198,4,0,20,0,33,17,0,449,2,0,3,20
72.2,1,34,0,195,6,1,20,0,33,18,0,444,3,0,4,18
72.4,1,42,0,200,1,0,22,0,35,21,0,451,1,0,4,15
72.60000000000001,1,32,0,198,3,1,15,0,34,19,0,456,1,0,2,14
72.8,1,35,0,194,6,0,21,0,34,19,0,455,1,0,0,13
73,0,39,0,199,3,1,19,0,33,17,0,454,2,0,6,13
73.2,1,41,0,206,2,0,17,0,33,19,0,459,2,0,1,13
73.4,1,38,0,198,4,0,20,0,34,20,1,457,2,0,2,14
73.60000000000001,1,37,0,199,3,0,18,0,31,19,0,452,4,0,3,13
73.8,0,32,0,192,3,0,23,0,29,18,0,457,6,0,3,11
74,1,34,0,197,5,0,18,0,29,21,0,454,4,0,2,12
74.2,1,35,0,200,3,0,17,2,31,20,0,453,5,0,3,12
74.4,0,43,0,206,0,2,16,0,32,19,0,451,4,0,0,11
